Date,Time,Open,High,Low,Close,Volume
2022.11.04,13:00,1.12185,1.12281,1.11962,1.12169,12077
2022.11.04,13:15,1.12169,1.1222,1.12007,1.12075,9906
2022.11.04,13:30,1.12075,1.12146,1.12049,1.12102,7837
2022.11.04,13:45,1.12102,1.1224,1.12061,1.1211,8166
2022.11.04,14:00,1.12112,1.12146,1.11984,1.12018,10893
2022.11.04,14:15,1.12018,1.1205,1.11808,1.11934,11865
2022.11.04,14:30,1.11934,1.1224,1.11447,1.12061,23568
2022.11.04,14:45,1.12058,1.12751,1.12017,1.12673,27971
2022.11.04,15:00,1.12671,1.12965,1.1256,1.12849,26252
2022.11.04,15:15,1.1285,1.12956,1.1269,1.12767,22880
2022.11.04,15:30,1.12767,1.12846,1.12387,1.12401,27733
2022.11.04,15:45,1.12401,1.1276,1.12321,1.12699,24837
2022.11.04,16:00,1.12698,1.13296,1.12657,1.13219,27486
2022.11.04,16:15,1.1322,1.1337,1.13118,1.13238,23742
2022.11.04,16:30,1.13238,1.13326,1.13076,1.13095,24320
2022.11.04,16:45,1.13096,1.13176,1.12965,1.13122,22008
2022.11.04,17:00,1.13123,1.13219,1.13,1.13127,16831
2022.11.04,17:15,1.13127,1.13128,1.128,1.12832,15641
2022.11.04,17:30,1.12834,1.13037,1.12753,1.12837,20721
2022.11.04,17:45,1.12838,1.12955,1.12707,1.12774,24826
2022.11.04,18:00,1.12774,1.12846,1.1262,1.12819,20764
2022.11.04,18:15,1.12821,1.13048,1.128,1.12953,18676
2022.11.04,18:30,1.12952,1.12974,1.12788,1.12826,16459
2022.11.04,18:45,1.12826,1.12978,1.12758,1.12956,12882
2022.11.04,19:00,1.12958,1.13093,1.1293,1.13048,15190
2022.11.04,19:15,1.13046,1.13165,1.12991,1.13109,9678
2022.11.04,19:30,1.13108,1.1319,1.13081,1.13189,9747
2022.11.04,19:45,1.13188,1.13343,1.1317,1.13325,8780
2022.11.04,20:00,1.13325,1.13365,1.13226,1.13239,9909
2022.11.04,20:15,1.13239,1.13505,1.13209,1.13478,12103
2022.11.04,20:30,1.13478,1.13628,1.13478,1.13608,10265
2022.11.04,20:45,1.13608,1.13682,1.13528,1.1367,10134
2022.11.04,21:00,1.13669,1.13777,1.13598,1.13768,11518
2022.11.04,21:15,1.13768,1.13819,1.13643,1.13682,8787
2022.11.04,21:30,1.13682,1.13782,1.13646,1.13769,9289
2022.11.04,21:45,1.13768,1.13817,1.13688,1.13729,9630
2022.11.04,22:00,1.13729,1.13807,1.13717,1.13768,4531
2022.11.04,22:15,1.13769,1.13811,1.13719,1.13737,3092
2022.11.04,22:30,1.13736,1.13751,1.13706,1.13744,2163
2022.11.04,22:45,1.13746,1.13763,1.13696,1.13737,1959
2022.11.07,00:00,1.13071,1.1312,1.13039,1.13073,157
2022.11.07,00:15,1.13066,1.13126,1.13032,1.13095,196
2022.11.07,00:30,1.13088,1.13193,1.13087,1.13183,416
2022.11.07,00:45,1.13184,1.13192,1.13098,1.13145,132
2022.11.07,01:00,1.1316,1.13406,1.13157,1.13397,4496
2022.11.07,01:15,1.13398,1.13412,1.13205,1.13229,5307
2022.11.07,01:30,1.13227,1.13323,1.13157,1.13295,4101
2022.11.07,01:45,1.13293,1.13321,1.13241,1.13304,4665
2022.11.07,02:00,1.13304,1.13434,1.13304,1.13368,7250
2022.11.07,02:15,1.13368,1.13371,1.1321,1.13219,6107
2022.11.07,02:30,1.13219,1.1335,1.13184,1.133,5784
2022.11.07,02:45,1.13301,1.13341,1.13246,1.13305,7525
2022.11.07,03:00,1.13305,1.13322,1.13212,1.13222,8396
2022.11.07,03:15,1.13222,1.13235,1.13059,1.13071,10105
2022.11.07,03:30,1.13071,1.13369,1.13051,1.13317,11424
2022.11.07,03:45,1.13319,1.13349,1.13231,1.13254,7792
2022.11.07,04:00,1.13254,1.13306,1.1318,1.13218,8705
2022.11.07,04:15,1.13217,1.13283,1.13205,1.13222,6647
2022.11.07,04:30,1.13222,1.13315,1.13181,1.13288,8931
2022.11.07,04:45,1.13288,1.13296,1.13228,1.13287,6323
2022.11.07,05:00,1.13289,1.13291,1.13177,1.13229,6495
2022.11.07,05:15,1.13227,1.13325,1.13225,1.13322,5191
2022.11.07,05:30,1.13322,1.13379,1.13281,1.13376,4749
2022.11.07,05:45,1.13374,1.13382,1.13286,1.133,4072
2022.11.07,06:00,1.133,1.1331,1.13257,1.13303,6254
2022.11.07,06:15,1.13303,1.13347,1.13273,1.13277,4208
2022.11.07,06:30,1.13277,1.13329,1.13261,1.13317,4653
2022.11.07,06:45,1.13319,1.13331,1.13276,1.13293,3268
2022.11.07,07:00,1.13294,1.13371,1.13275,1.13302,5702
2022.11.07,07:15,1.13301,1.13363,1.13289,1.13356,5069
2022.11.07,07:30,1.13357,1.13501,1.13348,1.13409,7226
2022.11.07,07:45,1.13408,1.13421,1.13309,1.13349,4887
2022.11.07,08:00,1.13349,1.13371,1.13291,1.13361,5782
2022.11.07,08:15,1.13359,1.13386,1.13236,1.13302,6576
2022.11.07,08:30,1.13303,1.1332,1.1324,1.13267,6027
2022.11.07,08:45,1.13267,1.1331,1.13188,1.13231,6276
2022.11.07,09:00,1.13232,1.13282,1.1313,1.13154,12791
2022.11.07,09:15,1.13155,1.1322,1.1307,1.13072,11311
2022.11.07,09:30,1.13072,1.13163,1.12902,1.13004,13211
2022.11.07,09:45,1.13004,1.13073,1.12949,1.13028,11680
2022.11.07,10:00,1.1303,1.13359,1.12964,1.1335,16234
2022.11.07,10:15,1.1335,1.13736,1.1335,1.137,17878
2022.11.07,10:30,1.137,1.1399,1.13695,1.13939,17629
2022.11.07,10:45,1.1394,1.14333,1.13892,1.1423,15703
2022.11.07,11:00,1.1423,1.14702,1.142,1.14591,20621
2022.11.07,11:15,1.14591,1.14688,1.14482,1.1455,16987
2022.11.07,11:30,1.1455,1.14558,1.144,1.14521,15704
2022.11.07,11:45,1.14521,1.14521,1.14379,1.14407,10241
